City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
334,byron bay,-28.65,153.6167,14.84,79,6,1.12,AU,1694004836
335,jwaneng,-24.6004,24.7303,29.81,9,49,4.79,BW,1694005046
336,opuwo,-18.0607,13.84,34.13,8,93,4.0,NA,1694005047
337,flying fish cove,-10.4217,105.6791,23.82,88,100,5.66,CX,1694005047
338,ust-nera,64.5667,143.2,5.07,64,92,1.92,RU,1694005047
339,montauban,44.0833,1.5,33.55,24,6,3.55,FR,1694005047
340,whitehorse,60.7161,-135.0538,7.67,73,0,4.63,CA,1694005047
341,sur,22.5667,59.5289,31.17,59,4,1.15,OM,1694005047
342,rio grande,-32.035,-52.0986,14.06,66,10,6.59,BR,1694005047
343,naze,28.3667,129.4833,25.51,86,41,4.32,JP,1694005047
344,shakawe,-18.3667,21.85,35.78,9,2,2.52,BW,1694005047
345,arno,60.1167,18.6333,13.77,50,37,2.55,SE,1694005048
346,umarga,17.8333,76.6167,26.94,71,90,3.23,IN,1694005048
347,tulum,20.2167,-87.4667,28.64,72,6,2.15,MX,1694005048
348,cibolo,29.5616,-98.227,27.65,87,32,2.02,US,1694005048
349,batangafo,7.3008,18.2833,29.79,60,44,1.52,CF,1694005048
350,howrah,22.5892,88.3103,29.0,89,75,6.17,IN,1694005048
351,al qubbah,32.7616,22.2424,27.77,32,4,6.81,LY,1694005048
352,san lorenzo,-25.3333,-57.5333,19.52,77,75,2.57,PY,1694004756
353,pyshma,56.9523,63.2513,17.12,49,14,1.75,RU,1694005048
354,takestan,36.0696,49.6959,39.07,12,9,6.79,IR,1694005048
355,selfoss,63.9331,-20.9971,11.14,83,100,8.01,IS,1694005049
356,ad douiem,14.0012,32.3116,35.35,33,94,2.11,SD,1694005049
357,arfoud,31.4348,-4.2375,37.87,14,23,10.03,MA,1694005049
358,basco,20.4487,121.9702,28.0,81,100,5.33,PH,1694005049
359,kujang-up,39.8672,126.0303,21.16,85,0,1.81,KP,1694005049
360,shahrinav,38.5709,68.335,29.55,17,0,3.6,TJ,1694005049
361,bubaque,11.2833,-15.8333,27.11,78,100,9.39,GW,1694005049
362,lame,10.4415,9.2396,33.91,33,16,2.61,NG,1694005049
363,ulladulla,-35.35,150.4667,11.74,64,26,3.07,AU,1694004569
364,thief river falls,48.1191,-96.1812,8.96,100,0,3.6,US,1694005050
365,banda aceh,5.5577,95.3222,26.71,80,100,1.76,ID,1694005050
366,bredasdorp,-34.5322,20.0403,17.49,48,82,8.96,ZA,1694005050
